CELL1,CELL2,CELL3,CELL4,CELL5,CELL6,CELL7,CELL8,CELL9,CELL10,CELL11,CELL12,CELL13,CELL14,CELL15,CELL16,CELL17,CELL18,CELL19,CELL20,CELL21,CELL22,CELL23,CELL24,CELL25,CELL26,CELL27,CELL28,CELL29,CELL30,CELL31,CELL32,CELL33,CELL34,CELL35,CELL36,CELL37,CELL38,CELL39,CELL40,CELL41,CELL42,CELL43,CELL44,CELL45,CELL46,CELL47,CELL48,CELL49,CELL50,CELL51,CELL52,CELL53,CELL54,CELL55,CELL56,CELL57,CELL58,CELL59,CELL60,CELL61,CELL62,CELL63,CELL64
3.283636,3.36495,3.390557,0.783407,3.38039,3.379526,3.379599,3.361654,3.374978,3.358647,3.31941,3.370416,3.355355,3.384453,3.271997,3.239449,3.342644,3.346981,3.383466,3.395732,3.371988,3.289588,3.360387,3.367995,3.374433,3.372787,3.327923,3.315293,3.382136,3.188001,3.35161,3.234156,3.352122,3.340798,3.400124,0.4191108,3.328433,3.378062,3.351646,3.376922,3.248823,3.333591,3.266147,3.377997,3.381818,3.38772,3.345352,3.334856,3.372849,3.267562,3.396251,3.385742,3.365878,3.371117,3.254589,3.366551,3.377518,3.372747,3.340665,3.338933,3.391343,3.386281,3.226701,3.350661
3.283636,3.364951,3.390557,0.7834067,3.380391,3.379524,3.379597,3.361656,3.374976,3.358645,3.319407,3.370415,3.355351,3.384453,3.271995,3.239448,3.342645,3.346981,3.383466,3.39573,3.37199,3.289587,3.360388,3.367996,3.374432,3.372786,3.327922,3.315292,3.382136,3.188004,3.351611,3.234154,3.35212,3.340798,3.400121,0.4191094,3.328433,3.378064,3.351642,3.37692,3.248819,3.33359,3.266146,3.377999,3.38182,3.387719,3.34535,3.334854,3.372846,3.267559,3.396249,3.385741,3.36588,3.371114,3.254586,3.366549,3.377519,3.372746,3.340661,3.338934,3.391343,3.386282,3.226699,3.350664
3.283631,3.36495,3.390555,0.7834081,3.38039,3.379525,3.379595,3.361653,3.374977,3.358643,3.319406,3.370413,3.355352,3.384451,3.271993,3.239448,3.342643,3.34698,3.38347,3.395732,3.371989,3.289586,3.360387,3.367995,3.374432,3.372785,3.327922,3.315289,3.382134,3.188,3.351605,3.234154,3.35212,3.340796,3.40012,0.4191103,3.328431,3.378064,3.351642,3.37692,3.248818,3.333588,3.266144,3.378,3.381821,3.387717,3.345351,3.334855,3.372846,3.267558,3.396248,3.385743,3.365879,3.371115,3.254585,3.366547,3.377519,3.372746,3.340661,3.338932,3.391341,3.386283,3.2267,3.35066
3.283631,3.364952,3.390556,0.7834101,3.380389,3.379522,3.379596,3.361654,3.374975,3.358642,3.319404,3.370412,3.35535,3.384453,3.271993,3.239447,3.342644,3.34698,3.383468,3.395731,3.371987,3.289583,3.360386,3.367993,3.37443,3.372785,3.327919,3.315287,3.382135,3.188001,3.351609,3.234155,3.35212,3.340796,3.400119,0.4191084,3.328431,3.378064,3.351641,3.376918,3.248818,3.333589,3.266142,3.377998,3.381819,3.387716,3.34535,3.334854,3.372846,3.267559,3.396249,3.385742,3.365875,3.371114,3.254584,3.366547,3.377519,3.372744,3.340659,3.33893,3.391344,3.386278,3.2267,3.350663
3.283634,3.364948,3.390555,0.7834115,3.38039,3.379523,3.379595,3.361651,3.374977,3.358639,3.319401,3.37041,3.355348,3.384449,3.27199,3.239444,3.342643,3.34698,3.383465,3.395732,3.371989,3.289584,3.360386,3.367993,3.374432,3.372785,3.32792,3.315286,3.382133,3.187998,3.351608,3.234154,3.352119,3.340797,3.40012,0.4191122,3.328428,3.378063,3.35164,3.376916,3.248818,3.333589,3.266144,3.377998,3.381817,3.387717,3.345349,3.334853,3.372845,3.267557,3.396249,3.385742,3.365877,3.371113,3.254581,3.366545,3.377518,3.372744,3.340659,3.338929,3.391344,3.38628,3.226698,3.35066
3.283633,3.364948,3.390554,0.7834153,3.380389,3.37952,3.379592,3.361652,3.374974,3.358638,3.319401,3.370409,3.355344,3.384448,3.271991,3.239444,3.342639,3.346978,3.383464,3.395729,3.371987,3.289579,3.360387,3.367993,3.37443,3.372783,3.327917,3.315287,3.382132,3.187997,3.351608,3.234156,3.352118,3.340796,3.400117,0.4191059,3.328428,3.378061,3.351637,3.376918,3.248815,3.333585,3.26614,3.377998,3.381817,3.387717,3.345348,3.334854,3.372844,3.267556,3.396249,3.385741,3.365876,3.371112,3.25458,3.366544,3.377517,3.372743,3.340658,3.33893,3.391342,3.386278,3.226695,3.350659
3.28363,3.364948,3.390556,0.7834156,3.380387,3.379518,3.379594,3.361649,3.374975,3.358635,3.319397,3.370408,3.355344,3.384449,3.271991,3.239444,3.34264,3.346979,3.383466,3.395729,3.371984,3.28958,3.360387,3.367993,3.374429,3.372783,3.327917,3.315283,3.382132,3.187996,3.351609,3.234155,3.352119,3.340795,3.400116,0.4191128,3.328424,3.37806,3.351637,3.376917,3.248816,3.333584,3.266137,3.377997,3.381818,3.387717,3.345348,3.334855,3.372844,3.267554,3.396248,3.385741,3.365874,3.371109,3.254579,3.366543,3.377516,3.372744,3.340656,3.338926,3.39134,3.386279,3.226694,3.350658
3.283631,3.364948,3.390557,0.7834164,3.380386,3.379519,3.379594,3.361648,3.374974,3.358637,3.319396,3.370406,3.355341,3.384447,3.271988,3.239441,3.34264,3.346978,3.383466,3.395726,3.371985,3.289579,3.360385,3.367993,3.374429,3.37278,3.327916,3.315283,3.382135,3.187993,3.351607,3.234154,3.352117,3.340794,3.400118,0.4191156,3.328428,3.37806,3.351637,3.376918,3.248814,3.333582,3.266138,3.377997,3.381817,3.387717,3.345346,3.334855,3.372845,3.267553,3.396248,3.385738,3.365874,3.371109,3.254577,3.366541,3.377518,3.372742,3.340654,3.338926,3.39134,3.386278,3.226694,3.350658
3.28363,3.364947,3.390556,0.7834182,3.380387,3.379517,3.379594,3.361647,3.374975,3.358634,3.319391,3.370407,3.35534,3.38445,3.271987,3.239441,3.342639,3.346977,3.383465,3.39573,3.371985,3.289576,3.360383,3.367989,3.374428,3.37278,3.327913,3.315283,3.382134,3.187994,3.351607,3.234154,3.352118,3.340791,3.400118,0.4191169,3.328427,3.37806,3.351635,3.376917,3.248812,3.333582,3.266137,3.377997,3.381817,3.387719,3.345347,3.334856,3.372845,3.267552,3.396246,3.385738,3.365872,3.37111,3.254577,3.366542,3.377516,3.372742,3.340655,3.338925,3.391342,3.386279,3.226694,3.350656
3.283632,3.364948,3.390553,0.7834229,3.380386,3.379518,3.379593,3.361645,3.374972,3.358632,3.319389,3.370404,3.355334,3.384447,3.271984,3.239442,3.342638,3.346978,3.383466,3.395728,3.371986,3.289575,3.360384,3.367988,3.374427,3.372783,3.327912,3.315279,3.382132,3.187993,3.351604,3.234155,3.352116,3.340789,3.40012,0.419115,3.328423,3.37806,3.351633,3.376916,3.248811,3.333582,3.266134,3.377996,3.381814,3.387718,3.345344,3.334855,3.372842,3.26755,3.396247,3.385739,3.365871,3.371108,3.254574,3.366543,3.377517,3.372741,3.340651,3.338923,3.391343,3.386277,3.22669,3.350655
